url,canonical,og_url,twitter_url,robots,title,status,issues
"http://localhost:3000/area-of-pain/foot-pain/ankle-arthroscopy-recovery-pain","","","","","","error","Error fetching http://localhost:3000/area-of-pain/foot-pain/ankle-arthroscopy-recovery-pain: Navigation timeout of 20000 ms exceeded"
"http://localhost:3000/about/meetourdoctors/dr-douglas-slaughter","https://mountainspineorthopedics.com/about/meetourdoctors/dr-douglas-slaughter","https://mountainspineorthopedics.com/about/meetourdoctors/dr-douglas-slaughter","","","Dr Douglas Slaughter | Spine & Orthopedic Surgeon in Florida | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/find-care/book-an-appointment","","","","","","error","Error fetching http://localhost:3000/find-care/book-an-appointment: Navigation timeout of 20000 ms exceeded"
"http://localhost:3000/treatments/anterior-cervical-corpectomy-and-fusion","https://mountainspineorthopedics.com/treatments/anterior-cervical-corpectomy-and-fusion","https://mountainspineorthopedics.com/treatments/anterior-cervical-corpectomy-and-fusion","","","Anterior Cervical Corpectomy and Fusion - Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/treatments/percutaneous-discectomy","https://mountainspineorthopedics.com/treatments/percutaneous-discectomy","https://mountainspineorthopedics.com/treatments/percutaneous-discectomy","","","Percutaneous Discectomy - Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/area-of-specialty/neck-pain","https://mountainspineorthopedics.com/area-of-specialty/neck-pain","https://mountainspineorthopedics.com/area-of-specialty/neck-pain","","index, follow","Neck Pain | Mountain Spine & Orthopedics – Florida’s Trusted Spine and Joint Pain Specialists","ok",""
"http://localhost:3000/treatments/back-pain-treatment","https://mountainspineorthopedics.com/treatments/back-pain-treatment","https://mountainspineorthopedics.com/treatments/back-pain-treatment","","","Back Pain Treatment | Mountain Spine & Orthopedics","ok",""
"http://localhost:3000/blogs/orthopedic-visit-cost-without-insurance","https://mountainspineorthopedics.com","https://mountainspineorthopedics.com","","noindex","Mountain Spine & Orthopedics","mismatch","Page has noindex but has canonical: noindex; Path mismatch: expected /blogs/orthopedic-visit-cost-without-insurance, got "
"http://localhost:3000/area-of-specialty/osteoarthritis","https://mountainspineorthopedics.com/area-of-specialty/osteoarthritis","https://mountainspineorthopedics.com/area-of-specialty/osteoarthritis","","index, follow","Osteoarthritis | Mountain Spine & Orthopedics – Florida’s Trusted Spine and Joint Pain Specialists","ok",""
"http://localhost:3000/blogs/getting-a-second-opinion-from-an-orthopedic-doctor","https://mountainspineorthopedics.com/blogs/getting-a-second-opinion-from-an-orthopedic-doctor","https://mountainspineorthopedics.com/blogs/getting-a-second-opinion-from-an-orthopedic-doctor","","","Getting a Second Opinion from an Orthopedic Doctor: What You Need to Know","ok",""
"http://localhost:3000/locations/orlando-orthopedics","https://mountainspineorthopedics.com/locations/orlando-orthopedics","https://mountainspineorthopedics.com/locations/orlando-orthopedics","","","Orthopedic Center in Orlando & Walk-in Clinic in Central Florida","ok",""
"http://localhost:3000/about","https://mountainspineorthopedics.com/about","https://mountainspineorthopedics.com/about","","","About Mountain Spine & Orthopedics | Expert Spine & Joint Care","ok",""
